mutation,alt_reads,ref_reads,type,app,allele_frequency,sample_exist'
C_88_T,912,0,snp,freebayes,1.0,167
T_110_C,926,0,snp,freebayes,1.0,215
T_119_C,919,4,snp,freebayes,0.9956663055254604,51
A_137_G,913,1,snp,freebayes,0.9989059080962801,219
T_144_C,916,1,snp,freebayes,0.9989094874591058,218
T_206_G,136,0,snp,freebayes,1.0,144
T_212_C,151,0,snp,freebayes,1.0,37
A_218_T,153,0,snp,freebayes,1.0,151
G_233_T,463,0,snp,freebayes,1.0,203
G_344_A,622,0,snp,freebayes,1.0,212
CAAAAAACT_440_CAAAAAAACT,15,190,ins,freebayes,0.07317073170731707,96
C_467_T,221,0,snp,freebayes,1.0,13
T_497_C,256,0,snp,freebayes,1.0,2
T_521_C,267,0,snp,freebayes,1.0,168
A_555_C,207,0,snp,freebayes,1.0,2
G_587_A,167,0,snp,freebayes,1.0,2
C_648_T,1788,1,snp,freebayes,0.9994410285075461,231
G_666_A,1742,0,snp,freebayes,1.0,2
C_726_T,1878,4,snp,freebayes,0.997874601487779,124
T_768_C,492,0,snp,freebayes,1.0,234
C_810_T,413,0,snp,freebayes,1.0,216
C_861_T,240,0,snp,freebayes,1.0,141
T_900_C,1103,0,snp,freebayes,1.0,208
A_960_C,1214,0,snp,freebayes,1.0,202
T_969_A,1169,0,snp,freebayes,1.0,207
T_1005_A,1068,0,snp,freebayes,1.0,181
T_1028_C,151,0,snp,freebayes,1.0,18
C_1042_T,142,0,snp,freebayes,1.0,14
C_1051_T,133,0,snp,freebayes,1.0,15
T_1065_C,101,0,snp,freebayes,1.0,9
G_1193_A,1802,1,snp,freebayes,0.9994453688297282,217
C_1208_T,2252,1,snp,freebayes,0.9995561473590768,211
T_1241_C,2491,1,snp,freebayes,0.9995987158908507,234
C_1271_T,2486,1,snp,freebayes,0.9995979091274628,240
G_1390_A,691,0,snp,freebayes,1.0,178
A_1430_G,602,0,snp,freebayes,1.0,2
T_1448_C,584,0,snp,freebayes,1.0,159
A_1574_G,234,0,snp,freebayes,1.0,141
G_1631_A,236,0,snp,freebayes,1.0,118
G_1661_A,162,0,snp,freebayes,1.0,67
T_1670_A,155,0,snp,freebayes,1.0,69
G_1694_A,172,0,snp,freebayes,1.0,32
T_1805_A,314,0,snp,freebayes,1.0,2
T_1871_A,282,1,snp,freebayes,0.9964664310954063,77
G_1970_A,255,0,snp,freebayes,1.0,98
T_2000_G,207,0,snp,freebayes,1.0,55
A_2006_G,215,0,snp,freebayes,1.0,38
T_2070_C,110,0,snp,freebayes,1.0,44
G_2075_A,107,0,snp,freebayes,1.0,43
C_2102_T,108,0,snp,freebayes,1.0,46
A_2114_G,186,0,snp,freebayes,1.0,91
C_2175_T,216,0,snp,freebayes,1.0,86
C_2246_T,235,1,snp,freebayes,0.9957627118644068,97
A_2343_T,1449,4,snp,freebayes,0.9972470750172058,225
T_2398_C,1779,0,snp,freebayes,1.0,212
T_2440_C,1500,1,snp,freebayes,0.9993337774816788,224
C_2544_T,275,0,snp,freebayes,1.0,187
A_2593_G,340,0,snp,freebayes,1.0,187
A_2626_G,805,1,snp,freebayes,0.9987593052109182,2
T_2695_C,830,0,snp,freebayes,1.0,2
A_2767_G,342,0,snp,freebayes,1.0,160
T_2824_C,393,0,snp,freebayes,1.0,159
C_2875_A,379,0,snp,freebayes,1.0,169
G_2950_A,148,0,snp,freebayes,1.0,130
T_3014_C,261,0,snp,freebayes,1.0,167
T_3064_A,298,0,snp,freebayes,1.0,165
T_3085_A,285,1,snp,freebayes,0.9965034965034965,145
C_3091_A,284,0,snp,freebayes,1.0,2
C_3097_A,271,1,snp,freebayes,0.9963235294117647,139
C_3110_T,144,0,snp,freebayes,1.0,101
G_3115_A,135,0,snp,freebayes,1.0,106
C_3250_T,2103,1,snp,freebayes,0.9995247148288974,220
A_3262_G,2126,0,snp,freebayes,1.0,233
T_3299_C,2113,0,snp,freebayes,1.0,234
C_3316_T,2106,1,snp,freebayes,0.9995253915519696,234
T_3371_C,463,0,snp,freebayes,1.0,197
T_3376_C,296,0,snp,freebayes,1.0,185
T_3391_C,251,0,snp,freebayes,1.0,176
C_3400_T,251,0,snp,freebayes,1.0,158
T_3436_C,259,0,snp,freebayes,1.0,172
C_3568_T,399,0,snp,freebayes,1.0,184
T_3577_C,1411,1,snp,freebayes,0.9992917847025495,221
C_3589_T,1493,0,snp,freebayes,1.0,3
CAAAAAATATG_3597_CAAAAAAATATG,87,1389,ins,freebayes,0.05894308943089431,111
T_3631_C,1482,0,snp,freebayes,1.0,57
CAAAAAAAGTC_3696_CAAAAAAAAGTC,85,1347,ins,freebayes,0.05935754189944134,129
C_3730_T,380,0,snp,freebayes,1.0,165
T_3736_C,322,0,snp,freebayes,1.0,144
C_3799_T,326,0,snp,freebayes,1.0,166
C_3814_T,340,0,snp,freebayes,1.0,33
T_3898_C,752,0,snp,freebayes,1.0,192
T_4012_C,470,0,snp,freebayes,1.0,143
G_4022_A,464,0,snp,freebayes,1.0,123
T_4028_A,468,1,snp,freebayes,0.997867803837953,123
C_4048_A,460,2,snp,freebayes,0.9956709956709957,121
C_4067_A,447,0,snp,freebayes,1.0,119
C_4112_T,452,0,snp,freebayes,1.0,120
T_4117_A,444,0,snp,freebayes,1.0,104
T_4156_C,110,0,snp,freebayes,1.0,10
T_4229_C,747,0,snp,freebayes,1.0,188
A_4294_T,738,2,snp,freebayes,0.9972972972972973,114
C_4364_A,231,0,snp,freebayes,1.0,117
G_4396_A,412,1,snp,freebayes,0.9975786924939467,157
T_4408_C,448,0,snp,freebayes,1.0,147
C_4417_T,712,0,snp,freebayes,1.0,191
G_4514_A,743,0,snp,freebayes,1.0,111
A_4520_T,730,0,snp,freebayes,1.0,160
C_4529_T,717,0,snp,freebayes,1.0,168
T_4534_C,713,0,snp,freebayes,1.0,181
TAAAAAT_4594_TAAAAAAT,130,0,ins,freebayes,1.0,2
A_4619_G,132,0,snp,freebayes,1.0,35
A_4669_C,2672,9,snp,freebayes,0.9966430436404327,233
A_4702_G,2745,0,snp,freebayes,1.0,136
T_4814_C,960,0,snp,freebayes,1.0,216
C_4857_A,990,4,snp,freebayes,0.9959758551307847,15
A_4989_T,1790,2,snp,freebayes,0.9988839285714286,225
A_5076_C,646,1,snp,freebayes,0.9984544049459042,144
G_5093_A,500,0,snp,freebayes,1.0,128
C_5117_T,898,0,snp,freebayes,1.0,164
C_5125_A,842,0,snp,freebayes,1.0,175
T_5138_C,1070,0,snp,freebayes,1.0,195
C_5165_T,1444,1,snp,freebayes,0.9993079584775086,178
T_5174_C,1696,0,snp,freebayes,1.0,164
T_5210_C,1915,0,snp,freebayes,1.0,167
C_5255_A,1685,1,snp,freebayes,0.9994068801897983,2
A_5280_C,1154,1,snp,freebayes,0.9991341991341991,191
C_5287_T,1227,1,snp,freebayes,0.999185667752443,3
T_5302_C,891,0,snp,freebayes,1.0,190
A_5353_G,378,3,snp,freebayes,0.9921259842519685,113
C_5375_T,329,1,snp,freebayes,0.996969696969697,68
T_5386_G,294,0,snp,freebayes,1.0,13
C_5416_A,215,1,snp,freebayes,0.9953703703703703,74
G_5446_A,103,0,snp,freebayes,1.0,3
A_5573_G,133,0,snp,freebayes,1.0,21
A_5582_G,133,0,snp,freebayes,1.0,4
C_5599_A,134,0,snp,freebayes,1.0,27
A_5661_T,1486,0,snp,freebayes,1.0,214
G_5668_A,1487,1,snp,freebayes,0.9993279569892473,160
A_5734_T,1453,2,snp,freebayes,0.9986254295532646,217
C_5751_T,1457,0,snp,freebayes,1.0,214
A_5844_T,1152,0,snp,freebayes,1.0,206
G_5865_A,1197,0,snp,freebayes,1.0,214
G_5894_A,1356,0,snp,freebayes,1.0,213
A_5945_G,782,0,snp,freebayes,1.0,187
G_5970_A,350,0,snp,freebayes,1.0,132
T_6003_C,310,0,snp,freebayes,1.0,116
C_6021_T,228,0,snp,freebayes,1.0,93
C_6048_A,127,0,snp,freebayes,1.0,47
C_6075_T,138,0,snp,freebayes,1.0,5
T_6090_C,134,0,snp,freebayes,1.0,46
A_6177_T,143,0,snp,freebayes,1.0,46
T_6186_C,201,0,snp,freebayes,1.0,74
A_6204_G,208,0,snp,freebayes,1.0,36
G_6252_T,193,0,snp,freebayes,1.0,69
T_6267_C,186,0,snp,freebayes,1.0,63
A_6390_T,124,0,snp,freebayes,1.0,11
A_6399_G,123,0,snp,freebayes,1.0,9
T_6891_C,123,0,snp,freebayes,1.0,29
A_6921_G,115,0,snp,freebayes,1.0,26
T_6936_C,121,0,snp,freebayes,1.0,31
C_6948_T,131,0,snp,freebayes,1.0,37
G_7014_A,13,89,snp,freebayes,0.12745098039215685,2
T_7602_C,1046,0,snp,freebayes,1.0,213
C_7737_A,123,0,snp,freebayes,1.0,136
A_7746_G,134,0,snp,freebayes,1.0,125
T_7833_A,509,0,snp,freebayes,1.0,191
C_7884_T,731,0,snp,freebayes,1.0,197
T_7899_C,976,0,snp,freebayes,1.0,209
CAAAAAAC_7908_CAAAAAAAC,63,778,ins,freebayes,0.07491082045184304,113
G_7917_A,789,0,snp,freebayes,1.0,221
T_7938_C,762,0,snp,freebayes,1.0,207
A_7995_G,585,1,snp,freebayes,0.9982935153583617,185
A_8058_C,302,15,snp,freebayes,0.9526813880126183,45
C_8063_A,297,2,snp,freebayes,0.9933110367892977,153
C_8138_T,228,1,snp,freebayes,0.9956331877729258,2
G_8202_A,183,1,snp,freebayes,0.9945652173913043,125
T_8212_C,177,0,snp,freebayes,1.0,126
CAAAAGAAC_8225_CAAAAAAAC,149,0,snp,freebayes,1.0,78
T_8243_A,165,0,snp,freebayes,1.0,119
A_8265_G,145,1,snp,freebayes,0.9931506849315068,30
A_8484_G,107,0,snp,freebayes,1.0,38
G_8503_T,109,0,snp,freebayes,1.0,62
C_8512_T,105,0,snp,freebayes,1.0,40
T_8554_C,118,0,snp,freebayes,1.0,62
T_8866_C,202,1,snp,freebayes,0.9950738916256158,91
C_8893_T,200,0,snp,freebayes,1.0,42
T_8920_C,153,0,snp,freebayes,1.0,75
A_8926_T,149,0,snp,freebayes,1.0,72
T_8959_C,140,0,snp,freebayes,1.0,71
T_8988_A,141,0,snp,freebayes,1.0,57
C_9376_T,110,0,snp,freebayes,1.0,39
C_9404_T,117,0,snp,freebayes,1.0,37
C_9412_T,120,0,snp,freebayes,1.0,38
A_11602_G,104,0,snp,freebayes,1.0,32
T_11617_C,111,0,snp,freebayes,1.0,33
G_11662_A,124,0,snp,freebayes,1.0,35
A_11671_G,122,0,snp,freebayes,1.0,35
T_11713_C,104,0,snp,freebayes,1.0,27
T_12133_C,101,0,snp,freebayes,1.0,34
T_12211_C,105,0,snp,freebayes,1.0,38
C_12391_T,119,0,snp,freebayes,1.0,26
A_12397_G,120,0,snp,freebayes,1.0,26
T_12414_C,118,0,snp,freebayes,1.0,22
C_12484_T,106,0,snp,freebayes,1.0,24
C_12878_A,138,0,snp,freebayes,1.0,43
G_12973_T,233,0,snp,freebayes,1.0,85
C_13087_A,143,0,snp,freebayes,1.0,48
C_13156_T,172,0,snp,freebayes,1.0,3
A_13210_G,519,0,snp,freebayes,1.0,144
A_13396_T,158,0,snp,freebayes,1.0,65
A_13431_G,159,0,snp,freebayes,1.0,62
A_13456_G,210,0,snp,freebayes,1.0,72
A_13468_G,209,0,snp,freebayes,1.0,66
C_13486_G,208,0,snp,freebayes,1.0,68
T_13555_C,164,0,snp,freebayes,1.0,43
A_13566_G,159,0,snp,freebayes,1.0,46
T_13591_C,145,0,snp,freebayes,1.0,33
A_13690_G,106,0,snp,freebayes,1.0,2
T_13701_C,107,0,snp,freebayes,1.0,19
C_13730_T,105,0,snp,freebayes,1.0,23
A_13735_T,108,0,snp,freebayes,1.0,12
C_13987_T,117,0,snp,freebayes,1.0,39
T_13992_A,116,0,snp,freebayes,1.0,39
A_13999_G,118,0,snp,freebayes,1.0,40
