mutation,alt_reads,ref_reads,type,app,allele_frequency,sample_exist'
C_88_T,1405,0,snp,freebayes,1.0,167
T_110_C,1407,0,snp,freebayes,1.0,215
A_137_G,1383,1,snp,freebayes,0.9992774566473989,219
T_144_C,1375,1,snp,freebayes,0.9992732558139535,218
A_218_T,232,0,snp,freebayes,1.0,151
G_227_A,766,0,snp,freebayes,1.0,85
G_233_T,783,0,snp,freebayes,1.0,203
G_344_A,921,0,snp,freebayes,1.0,212
A_428_G,269,0,snp,freebayes,1.0,10
CAAAAAACT_440_CAAAAAAACT,31,236,ins,freebayes,0.11610486891385768,96
T_521_C,389,0,snp,freebayes,1.0,168
C_648_T,1968,0,snp,freebayes,1.0,231
T_768_C,1054,0,snp,freebayes,1.0,234
C_810_T,876,0,snp,freebayes,1.0,216
C_861_T,179,0,snp,freebayes,1.0,141
T_900_C,899,0,snp,freebayes,1.0,208
A_960_C,890,0,snp,freebayes,1.0,202
T_969_A,870,0,snp,freebayes,1.0,207
T_1005_A,791,0,snp,freebayes,1.0,181
G_1193_A,1295,1,snp,freebayes,0.9992283950617284,217
C_1208_T,1508,0,snp,freebayes,1.0,211
T_1241_C,1605,0,snp,freebayes,1.0,234
C_1271_T,1583,0,snp,freebayes,1.0,240
G_1390_A,508,1,snp,freebayes,0.9980353634577603,178
T_1448_C,471,0,snp,freebayes,1.0,159
A_1574_G,251,0,snp,freebayes,1.0,141
G_1631_A,208,0,snp,freebayes,1.0,118
G_1661_A,111,0,snp,freebayes,1.0,67
T_1670_A,109,0,snp,freebayes,1.0,69
TAAAAAATG_1708_TAAAAAAATG,11,137,ins,freebayes,0.07432432432432433,28
T_1871_A,149,0,snp,freebayes,1.0,77
T_1946_C,164,0,snp,freebayes,1.0,99
C_1953_T,167,0,snp,freebayes,1.0,102
G_1970_A,154,0,snp,freebayes,1.0,98
T_2000_G,105,0,snp,freebayes,1.0,55
G_2036_A,143,0,snp,freebayes,1.0,66
T_2070_C,104,0,snp,freebayes,1.0,44
A_2114_G,147,1,snp,freebayes,0.9932432432432432,91
C_2175_T,133,0,snp,freebayes,1.0,86
C_2246_T,135,0,snp,freebayes,1.0,97
A_2343_T,1365,0,snp,freebayes,1.0,225
T_2398_C,1541,0,snp,freebayes,1.0,212
T_2440_C,1416,0,snp,freebayes,1.0,224
GAAAAAAGA_2452_GAAAAAAAGA,132,1241,ins,freebayes,0.09613983976693372,7
C_2544_T,422,0,snp,freebayes,1.0,187
A_2593_G,442,0,snp,freebayes,1.0,187
C_2638_T,845,6,snp,freebayes,0.9929494712103408,203
A_2767_G,238,0,snp,freebayes,1.0,160
T_2824_C,230,0,snp,freebayes,1.0,159
C_2875_A,221,0,snp,freebayes,1.0,169
G_2950_A,116,0,snp,freebayes,1.0,130
T_3014_C,234,0,snp,freebayes,1.0,167
T_3064_A,275,0,snp,freebayes,1.0,165
T_3085_A,260,0,snp,freebayes,1.0,145
C_3097_A,241,1,snp,freebayes,0.9958677685950413,139
C_3110_T,162,0,snp,freebayes,1.0,101
G_3115_A,151,0,snp,freebayes,1.0,106
