mutation,alt_reads,ref_reads,type,app,allele_frequency,sample_exist'
C_88_T,1126,4,snp,freebayes,0.9964601769911504,167
T_110_C,1157,0,snp,freebayes,1.0,215
T_119_C,1144,6,snp,freebayes,0.9947826086956522,51
A_137_G,1137,0,snp,freebayes,1.0,219
T_144_C,1126,0,snp,freebayes,1.0,218
T_206_G,180,0,snp,freebayes,1.0,144
T_212_C,206,0,snp,freebayes,1.0,37
A_218_T,206,0,snp,freebayes,1.0,151
G_233_T,416,0,snp,freebayes,1.0,203
G_344_A,627,0,snp,freebayes,1.0,212
CAAAAAACT_440_CAAAAAAACT,34,401,ins,freebayes,0.07816091954022988,96
T_521_C,538,0,snp,freebayes,1.0,168
C_560_T,333,0,snp,freebayes,1.0,9
TAAAACT_572_TAAAAAACT,297,0,ins,freebayes,1.0,9
C_648_T,3566,0,snp,freebayes,1.0,231
C_726_T,4594,1,snp,freebayes,0.9997823721436344,124
T_768_C,2043,0,snp,freebayes,1.0,234
C_810_T,1703,2,snp,freebayes,0.9988269794721407,216
C_861_T,379,0,snp,freebayes,1.0,141
C_879_T,1570,3,snp,freebayes,0.9980928162746344,9
T_900_C,1624,0,snp,freebayes,1.0,208
G_954_A,1619,0,snp,freebayes,1.0,9
A_960_C,1614,0,snp,freebayes,1.0,202
T_969_A,1527,1,snp,freebayes,0.9993455497382199,207
T_1005_A,1390,1,snp,freebayes,0.9992810927390366,181
T_1028_C,114,1,snp,freebayes,0.991304347826087,18
G_1193_A,762,0,snp,freebayes,1.0,217
C_1208_T,847,0,snp,freebayes,1.0,211
T_1241_C,889,0,snp,freebayes,1.0,234
C_1271_T,890,0,snp,freebayes,1.0,240
G_1390_A,392,0,snp,freebayes,1.0,178
T_1448_C,321,0,snp,freebayes,1.0,159
A_1574_G,153,0,snp,freebayes,1.0,141
G_1631_A,128,0,snp,freebayes,1.0,118
G_1694_A,107,0,snp,freebayes,1.0,32
T_1946_C,208,0,snp,freebayes,1.0,99
C_1953_T,209,0,snp,freebayes,1.0,102
G_1970_A,196,0,snp,freebayes,1.0,98
T_2000_G,187,0,snp,freebayes,1.0,55
A_2006_G,193,0,snp,freebayes,1.0,38
A_2027_G,193,0,snp,freebayes,1.0,5
G_2036_A,196,0,snp,freebayes,1.0,66
T_2070_C,126,0,snp,freebayes,1.0,44
G_2075_A,114,0,snp,freebayes,1.0,43
C_2102_T,113,0,snp,freebayes,1.0,46
A_2114_G,153,0,snp,freebayes,1.0,91
C_2246_T,211,0,snp,freebayes,1.0,97
A_2343_T,1666,1,snp,freebayes,0.9994001199760048,225
T_2398_C,2063,0,snp,freebayes,1.0,212
T_2440_C,1798,0,snp,freebayes,1.0,224
GAAAAAAGATAG_2452_GAAAAAAAGATAG,105,1753,ins,freebayes,0.05651237890204521,139
C_2530_T,649,0,snp,freebayes,1.0,7
C_2544_T,689,0,snp,freebayes,1.0,187
C_2638_T,794,3,snp,freebayes,0.9962358845671268,203
G_2725_A,752,0,snp,freebayes,1.0,37
C_2731_T,751,1,snp,freebayes,0.9986702127659575,43
A_2767_G,301,0,snp,freebayes,1.0,160
T_2824_C,329,0,snp,freebayes,1.0,159
C_2875_A,313,0,snp,freebayes,1.0,169
G_2950_A,155,0,snp,freebayes,1.0,130
T_3014_C,254,0,snp,freebayes,1.0,167
T_3064_A,262,0,snp,freebayes,1.0,165
T_3085_A,250,1,snp,freebayes,0.9960159362549801,145
C_3097_A,234,0,snp,freebayes,1.0,139
C_3110_T,149,0,snp,freebayes,1.0,101
G_3115_A,138,0,snp,freebayes,1.0,106
C_3250_T,1344,0,snp,freebayes,1.0,220
A_3262_G,1358,2,snp,freebayes,0.9985294117647059,233
T_3299_C,1462,1,snp,freebayes,0.9993164730006835,234
C_3316_T,1437,1,snp,freebayes,0.9993045897079277,234
C_3363_A,1352,2,snp,freebayes,0.9985228951255539,9
T_3371_C,477,0,snp,freebayes,1.0,197
T_3376_C,366,0,snp,freebayes,1.0,185
T_3391_C,364,0,snp,freebayes,1.0,176
C_3400_T,369,0,snp,freebayes,1.0,158
T_3430_A,298,1,snp,freebayes,0.9966555183946488,5
T_3436_C,291,0,snp,freebayes,1.0,172
C_3568_T,274,0,snp,freebayes,1.0,184
T_3577_C,798,0,snp,freebayes,1.0,221
T_3631_C,805,0,snp,freebayes,1.0,57
CAAAAAAAGTC_3696_CAAAAAAAAGTC,50,746,ins,freebayes,0.06281407035175879,129
C_3730_T,279,0,snp,freebayes,1.0,165
C_3799_T,213,0,snp,freebayes,1.0,166
C_3814_T,246,0,snp,freebayes,1.0,33
T_3898_C,203,0,snp,freebayes,1.0,192
T_4012_C,339,0,snp,freebayes,1.0,143
T_4028_A,327,0,snp,freebayes,1.0,123
C_4048_A,330,0,snp,freebayes,1.0,121
C_4067_A,301,0,snp,freebayes,1.0,119
C_4112_T,304,0,snp,freebayes,1.0,120
T_4117_A,300,0,snp,freebayes,1.0,104
C_4202_A,1047,1,snp,freebayes,0.9990458015267175,9
T_4229_C,1059,0,snp,freebayes,1.0,188
G_4248_A,1069,0,snp,freebayes,1.0,22
A_4294_T,1053,1,snp,freebayes,0.9990512333965844,114
G_4396_A,550,0,snp,freebayes,1.0,157
T_4408_C,594,2,snp,freebayes,0.9966442953020134,147
C_4417_T,984,0,snp,freebayes,1.0,191
C_4500_T,1115,3,snp,freebayes,0.9973166368515206,18
G_4514_A,1096,0,snp,freebayes,1.0,111
A_4520_C,1027,1,snp,freebayes,0.9990272373540856,17
T_4534_C,1027,0,snp,freebayes,1.0,181
A_4619_G,247,0,snp,freebayes,1.0,35
TT_4642_CT,244,0,snp,freebayes,1.0,29
A_4669_C,2119,2,snp,freebayes,0.9990570485619991,233
A_4686_G,2135,1,snp,freebayes,0.9995318352059925,231
A_4702_G,2107,1,snp,freebayes,0.9995256166982922,136
T_4769_C,2490,0,snp,freebayes,1.0,10
T_4814_C,860,0,snp,freebayes,1.0,216
A_5076_C,482,0,snp,freebayes,1.0,144
G_5093_A,430,0,snp,freebayes,1.0,128
C_5117_T,646,0,snp,freebayes,1.0,164
C_5125_A,559,1,snp,freebayes,0.9982142857142857,175
T_5138_C,713,0,snp,freebayes,1.0,195
C_5165_T,995,0,snp,freebayes,1.0,178
T_5210_C,1282,3,snp,freebayes,0.9976653696498055,167
CAAAAAAACC_5266_CAAAAAAAACC,56,950,ins,freebayes,0.055666003976143144,17
A_5280_C,897,0,snp,freebayes,1.0,191
T_5302_C,601,0,snp,freebayes,1.0,190
C_5348_T,285,1,snp,freebayes,0.9965034965034965,117
