mutation,alt_reads,ref_reads,type,app,allele_frequency,sample_exist'
C_88_T,858,1,snp,freebayes,0.9988358556461001,167
T_110_C,945,0,snp,freebayes,1.0,215
T_119_C,976,6,snp,freebayes,0.9938900203665988,51
A_137_G,991,3,snp,freebayes,0.9969818913480886,219
T_144_C,989,0,snp,freebayes,1.0,218
T_206_G,1008,1,snp,freebayes,0.9990089197224975,144
T_212_C,1011,0,snp,freebayes,1.0,37
A_218_T,994,1,snp,freebayes,0.9989949748743718,151
G_233_T,973,0,snp,freebayes,1.0,203
G_344_A,583,0,snp,freebayes,1.0,212
T_521_C,394,0,snp,freebayes,1.0,168
TAAAACT_572_TAAAAAACT,226,0,ins,freebayes,1.0,9
C_648_T,8659,3,snp,freebayes,0.9996536596628954,231
C_726_T,9163,4,snp,freebayes,0.999563652230828,124
T_768_C,9022,5,snp,freebayes,0.9994461061260662,234
C_810_T,8795,5,snp,freebayes,0.9994318181818181,216
C_861_T,2846,2,snp,freebayes,0.9992977528089888,141
T_900_C,1679,2,snp,freebayes,0.998810232004759,208
A_960_C,1621,1,snp,freebayes,0.9993834771886559,202
T_969_A,1585,1,snp,freebayes,0.9993694829760403,207
T_1005_A,1441,0,snp,freebayes,1.0,181
G_1193_A,3671,0,snp,freebayes,1.0,217
C_1208_T,3655,2,snp,freebayes,0.9994531036368608,211
T_1241_C,3695,4,snp,freebayes,0.998918626655853,234
C_1271_T,3775,0,snp,freebayes,1.0,240
A_1301_G,3766,4,snp,freebayes,0.9989389920424403,2
G_1390_A,965,0,snp,freebayes,1.0,178
T_1448_C,485,0,snp,freebayes,1.0,159
A_1574_G,213,0,snp,freebayes,1.0,141
G_1631_A,197,0,snp,freebayes,1.0,118
G_1661_A,129,0,snp,freebayes,1.0,67
T_1670_A,131,0,snp,freebayes,1.0,69
G_1694_A,141,0,snp,freebayes,1.0,32
T_1871_A,126,0,snp,freebayes,1.0,77
T_1926_C,126,0,snp,freebayes,1.0,11
T_1946_C,126,0,snp,freebayes,1.0,99
C_1953_T,124,0,snp,freebayes,1.0,102
G_1970_A,120,0,snp,freebayes,1.0,98
G_2075_A,101,0,snp,freebayes,1.0,43
C_2102_T,109,0,snp,freebayes,1.0,46
A_2114_G,118,0,snp,freebayes,1.0,91
C_2175_T,146,0,snp,freebayes,1.0,86
C_2246_T,157,0,snp,freebayes,1.0,97
A_2343_T,1852,1,snp,freebayes,0.9994603345925526,225
T_2398_C,2862,1,snp,freebayes,0.9996507160321342,212
T_2440_C,2176,0,snp,freebayes,1.0,224
C_2544_T,2247,5,snp,freebayes,0.9977797513321492,187
T_2563_C,2163,0,snp,freebayes,1.0,2
A_2593_G,1962,0,snp,freebayes,1.0,187
A_2626_C,84,1212,snp,freebayes,0.06481481481481481,8
C_2638_T,1143,1,snp,freebayes,0.9991258741258742,203
G_2725_A,874,0,snp,freebayes,1.0,37
A_2767_G,320,1,snp,freebayes,0.9968847352024922,160
G_2812_A,314,0,snp,freebayes,1.0,17
T_2824_C,256,0,snp,freebayes,1.0,159
C_2875_A,294,0,snp,freebayes,1.0,169
G_2950_A,304,0,snp,freebayes,1.0,130
T_3014_C,290,0,snp,freebayes,1.0,167
T_3064_A,271,0,snp,freebayes,1.0,165
T_3085_A,261,0,snp,freebayes,1.0,145
C_3097_A,253,1,snp,freebayes,0.9960629921259843,139
C_3110_T,215,0,snp,freebayes,1.0,101
G_3115_A,214,0,snp,freebayes,1.0,106
C_3139_T,165,9,snp,freebayes,0.9482758620689655,3
C_3250_T,1250,5,snp,freebayes,0.9960159362549801,220
A_3262_G,1276,0,snp,freebayes,1.0,233
T_3299_C,1281,0,snp,freebayes,1.0,234
C_3316_T,1280,1,snp,freebayes,0.9992193598750976,234
T_3371_C,1185,0,snp,freebayes,1.0,197
T_3376_C,1181,0,snp,freebayes,1.0,185
T_3391_C,1168,0,snp,freebayes,1.0,176
C_3400_T,1169,0,snp,freebayes,1.0,158
T_3430_G,1547,1,snp,freebayes,0.9993540051679587,169
T_3436_C,1530,0,snp,freebayes,1.0,172
C_3568_T,784,0,snp,freebayes,1.0,184
T_3577_C,791,0,snp,freebayes,1.0,221
T_3631_C,764,0,snp,freebayes,1.0,57
C_3646_T,789,1,snp,freebayes,0.9987341772151899,3
C_3730_T,364,0,snp,freebayes,1.0,165
C_3799_T,336,0,snp,freebayes,1.0,166
C_3814_T,333,0,snp,freebayes,1.0,33
T_3898_C,347,0,snp,freebayes,1.0,192
C_3991_T,204,0,snp,freebayes,1.0,2
T_4012_C,198,0,snp,freebayes,1.0,143
T_4028_A,191,0,snp,freebayes,1.0,123
C_4048_A,187,0,snp,freebayes,1.0,121
C_4067_A,186,0,snp,freebayes,1.0,119
C_4106_T,180,0,snp,freebayes,1.0,3
C_4112_T,178,0,snp,freebayes,1.0,120
T_4117_A,173,1,snp,freebayes,0.9942528735632183,104
C_4215_T,1070,0,snp,freebayes,1.0,2
T_4229_C,1096,0,snp,freebayes,1.0,188
A_4294_T,1757,0,snp,freebayes,1.0,114
C_4364_A,1794,0,snp,freebayes,1.0,117
G_4396_A,1826,0,snp,freebayes,1.0,157
T_4408_C,1825,0,snp,freebayes,1.0,147
C_4417_T,1846,0,snp,freebayes,1.0,191
G_4514_A,1031,0,snp,freebayes,1.0,111
A_4520_T,991,0,snp,freebayes,1.0,160
C_4529_T,974,1,snp,freebayes,0.9989743589743589,168
T_4534_C,961,1,snp,freebayes,0.998960498960499,181
A_4619_G,332,1,snp,freebayes,0.996996996996997,35
T_4642_C,334,0,snp,freebayes,1.0,10
A_4669_C,3909,0,snp,freebayes,1.0,233
A_4686_G,3962,4,snp,freebayes,0.9989914271306102,231
A_4702_G,4031,0,snp,freebayes,1.0,136
T_4814_C,5427,1,snp,freebayes,0.9998157700810612,216
G_4900_A,3241,0,snp,freebayes,1.0,11
A_4989_T,2890,1,snp,freebayes,0.9996540989277066,225
A_5076_C,1442,4,snp,freebayes,0.9972337482710927,144
G_5093_A,1445,0,snp,freebayes,1.0,128
C_5117_T,1382,1,snp,freebayes,0.9992769342010123,164
C_5125_A,1389,0,snp,freebayes,1.0,175
T_5138_C,1388,0,snp,freebayes,1.0,195
C_5165_T,1416,0,snp,freebayes,1.0,178
T_5210_C,1356,0,snp,freebayes,1.0,167
A_5280_C,667,0,snp,freebayes,1.0,191
T_5302_C,418,2,snp,freebayes,0.9952380952380953,190
C_5348_T,289,0,snp,freebayes,1.0,117
T_5386_G,184,0,snp,freebayes,1.0,13
C_5416_A,121,0,snp,freebayes,1.0,74
C_5599_A,214,0,snp,freebayes,1.0,27
A_5661_T,872,0,snp,freebayes,1.0,214
G_5668_A,884,1,snp,freebayes,0.9988700564971752,160
A_5734_T,900,0,snp,freebayes,1.0,217
C_5751_T,899,0,snp,freebayes,1.0,214
T_5805_C,851,0,snp,freebayes,1.0,2
A_5844_T,812,0,snp,freebayes,1.0,206
G_5865_A,777,0,snp,freebayes,1.0,214
G_5894_A,709,0,snp,freebayes,1.0,213
A_5945_G,285,0,snp,freebayes,1.0,187
C_5962_T,211,0,snp,freebayes,1.0,2
T_6003_C,195,0,snp,freebayes,1.0,116
C_6048_A,142,0,snp,freebayes,1.0,47
T_6090_C,141,0,snp,freebayes,1.0,46
T_6096_C,140,0,snp,freebayes,1.0,50
T_7602_C,1666,0,snp,freebayes,1.0,213
G_7632_A,2189,2,snp,freebayes,0.9990871748060246,213
C_7737_A,2823,0,snp,freebayes,1.0,136
T_7833_A,2812,0,snp,freebayes,1.0,191
C_7884_T,1750,0,snp,freebayes,1.0,197
T_7899_C,1758,1,snp,freebayes,0.9994314951677089,209
G_7917_A,1492,3,snp,freebayes,0.9979933110367893,221
T_7938_C,1221,0,snp,freebayes,1.0,207
A_7995_G,842,0,snp,freebayes,1.0,185
TAAAAA_8057_TCAAAA,326,0,snp,freebayes,1.0,108
C_8063_A,324,1,snp,freebayes,0.9969230769230769,153
T_8118_C,165,3,snp,freebayes,0.9821428571428571,2
G_8202_A,177,0,snp,freebayes,1.0,125
T_8212_C,174,0,snp,freebayes,1.0,126
CAAAAGAAC_8225_CAAAAAAAC,157,0,snp,freebayes,1.0,78
T_8243_A,166,0,snp,freebayes,1.0,119
A_8265_G,139,0,snp,freebayes,1.0,30
A_8484_G,153,0,snp,freebayes,1.0,38
G_8503_T,174,0,snp,freebayes,1.0,62
C_8512_T,186,0,snp,freebayes,1.0,40
T_8554_C,183,3,snp,freebayes,0.9838709677419355,62
G_8680_A,230,0,snp,freebayes,1.0,24
T_8725_C,225,0,snp,freebayes,1.0,21
T_8775_C,118,0,snp,freebayes,1.0,36
C_8782_T,119,0,snp,freebayes,1.0,40
T_8824_C,103,0,snp,freebayes,1.0,34
T_8866_C,201,0,snp,freebayes,1.0,91
C_8893_T,206,0,snp,freebayes,1.0,42
T_8920_C,164,0,snp,freebayes,1.0,75
A_8926_T,165,0,snp,freebayes,1.0,72
T_8959_C,161,0,snp,freebayes,1.0,71
T_8988_A,144,0,snp,freebayes,1.0,57
C_9034_T,137,0,snp,freebayes,1.0,11
A_9055_G,138,0,snp,freebayes,1.0,9
A_9114_G,116,0,snp,freebayes,1.0,11
G_9127_A,114,0,snp,freebayes,1.0,11
A_9136_T,112,0,snp,freebayes,1.0,11
C_9172_T,110,0,snp,freebayes,1.0,29
C_9262_T,118,0,snp,freebayes,1.0,38
A_9287_G,129,0,snp,freebayes,1.0,32
A_9319_G,128,0,snp,freebayes,1.0,21
C_9376_T,110,0,snp,freebayes,1.0,39
C_9404_T,109,1,snp,freebayes,0.990909090909091,37
C_9412_T,108,1,snp,freebayes,0.9908256880733946,38
A_11602_G,145,0,snp,freebayes,1.0,32
T_11617_C,142,0,snp,freebayes,1.0,33
A_11632_T,139,0,snp,freebayes,1.0,33
G_11662_A,140,0,snp,freebayes,1.0,35
A_11671_G,140,0,snp,freebayes,1.0,35
T_11713_C,127,0,snp,freebayes,1.0,27
C_11746_T,101,0,snp,freebayes,1.0,27
C_12878_A,117,0,snp,freebayes,1.0,43
G_12973_T,190,0,snp,freebayes,1.0,85
C_13087_A,206,0,snp,freebayes,1.0,48
G_13115_A,253,0,snp,freebayes,1.0,3
A_13210_G,811,0,snp,freebayes,1.0,144
A_13396_T,526,0,snp,freebayes,1.0,65
A_13431_G,465,1,snp,freebayes,0.9978540772532188,62
A_13456_G,271,0,snp,freebayes,1.0,72
A_13468_G,236,0,snp,freebayes,1.0,66
C_13486_G,231,0,snp,freebayes,1.0,68
T_13555_C,188,0,snp,freebayes,1.0,43
A_13566_G,191,0,snp,freebayes,1.0,46
T_13591_C,154,0,snp,freebayes,1.0,33
T_13634_A,126,0,snp,freebayes,1.0,21
C_13642_A,120,0,snp,freebayes,1.0,5
T_13701_C,107,0,snp,freebayes,1.0,19
C_13987_T,120,0,snp,freebayes,1.0,39
T_13992_A,120,0,snp,freebayes,1.0,39
A_13999_G,120,0,snp,freebayes,1.0,40
C_14074_T,110,0,snp,freebayes,1.0,23
