isnv,sample,frequency,type
ACA_4543_ATGGCA,ERR303276,0.1362126245847176,ins
ACA_4543_ATGGCA,ERR303271,0.07033639143730887,ins
C_5192_T,ERR303276,0.3273905996758509,snp
C_5192_T,ERR303282,0.11818181818181818,snp
C_5192_T,ERR303279,0.29637526652452023,snp
C_5192_T,ERR303281,0.4076782449725777,snp
C_5192_T,ERR303277,0.3325892857142857,snp
C_5192_T,ERR303273,0.256198347107438,snp
C_5192_T,ERR303271,0.2848101265822785,snp
C_5192_T,ERR303278,0.38219895287958117,snp
C_5192_T,ERR303280,0.3741648106904232,snp
C_5192_T,ERR303275,0.3608108108108108,snp
T_9157_C,ERR303276,0.10344827586206896,snp
T_9157_C,ERR303279,0.08673469387755102,snp
T_9157_C,ERR303277,0.05871559633027523,snp
T_9157_C,ERR303273,0.15772870662460567,snp
T_9157_C,ERR303280,0.3034188034188034,snp
T_9157_C,ERR303275,0.09780775716694773,snp
A_4551_T,ERR303277,0.05514705882352941,snp
A_4551_T,ERR303271,0.06349206349206349,snp
A_4551_T,ERR303275,0.06329113924050633,snp
T_2994_C,ERR303273,0.1633587786259542,snp
T_2994_C,ERR303271,0.1523096129837703,snp
A_3136_T,ERR303271,0.1111111111111111,snp
A_3136_T,ERR303275,0.05660377358490566,snp
