mutation,alt_reads,ref_reads,type,app,allele_frequency,sample_exist'
G_344_A,725,0,snp,freebayes,1.0,9
T_506_C,356,2,snp,freebayes,0.994413407821229,7
T_521_C,347,0,snp,freebayes,1.0,8
C_648_T,368,0,snp,freebayes,1.0,8
G_690_A,389,1,snp,freebayes,0.9974358974358974,8
C_726_T,402,1,snp,freebayes,0.9975186104218362,8
T_768_C,419,1,snp,freebayes,0.9976190476190476,8
C_810_T,445,0,snp,freebayes,1.0,8
C_861_T,462,1,snp,freebayes,0.9978401727861771,8
T_900_C,473,0,snp,freebayes,1.0,8
A_960_C,453,1,snp,freebayes,0.9977973568281938,8
T_969_A,461,0,snp,freebayes,1.0,8
T_1005_A,447,0,snp,freebayes,1.0,8
C_1010_A,440,0,snp,freebayes,1.0,8
T_1028_C,420,0,snp,freebayes,1.0,8
C_1042_T,418,0,snp,freebayes,1.0,6
C_1051_T,423,0,snp,freebayes,1.0,8
T_1065_C,423,1,snp,freebayes,0.9976415094339622,8
A_1090_T,411,0,snp,freebayes,1.0,8
G_1193_A,415,1,snp,freebayes,0.9975961538461539,9
C_1208_T,426,0,snp,freebayes,1.0,9
T_1241_C,422,5,snp,freebayes,0.9882903981264637,8
G_1259_T,411,1,snp,freebayes,0.9975728155339806,8
C_1271_T,409,0,snp,freebayes,1.0,8
G_1390_A,472,1,snp,freebayes,0.9978858350951374,8
T_1448_C,469,0,snp,freebayes,1.0,7
A_1574_G,447,0,snp,freebayes,1.0,8
G_1631_A,446,1,snp,freebayes,0.9977628635346756,8
G_1661_A,436,3,snp,freebayes,0.9931662870159453,8
G_1694_A,432,1,snp,freebayes,0.9976905311778291,8
T_1871_A,350,0,snp,freebayes,1.0,8
T_1946_C,278,0,snp,freebayes,1.0,8
C_1953_T,272,0,snp,freebayes,1.0,8
G_1970_A,259,2,snp,freebayes,0.9923371647509579,8
T_2000_G,272,1,snp,freebayes,0.9963369963369964,8
A_2006_G,275,0,snp,freebayes,1.0,8
G_2036_A,284,1,snp,freebayes,0.9964912280701754,8
T_2070_C,324,0,snp,freebayes,1.0,8
G_2075_A,326,0,snp,freebayes,1.0,8
C_2102_T,359,1,snp,freebayes,0.9972222222222222,8
A_2114_G,366,2,snp,freebayes,0.9945652173913043,8
C_2175_T,434,1,snp,freebayes,0.9977011494252873,8
A_2343_T,440,0,snp,freebayes,1.0,8
T_2398_C,453,0,snp,freebayes,1.0,8
T_2440_C,475,1,snp,freebayes,0.9978991596638656,8
C_2544_T,465,1,snp,freebayes,0.9978540772532188,8
A_2593_G,425,2,snp,freebayes,0.9953161592505855,8
C_2638_T,385,1,snp,freebayes,0.9974093264248705,8
A_2767_G,899,2,snp,freebayes,0.9977802441731409,9
C_2875_A,529,0,snp,freebayes,1.0,9
A_2893_G,561,0,snp,freebayes,1.0,9
G_2950_A,662,0,snp,freebayes,1.0,9
A_3007_T,258,0,snp,freebayes,1.0,9
T_3014_C,257,0,snp,freebayes,1.0,9
T_3064_A,183,0,snp,freebayes,1.0,9
T_3085_A,143,0,snp,freebayes,1.0,9
C_3097_A,129,0,snp,freebayes,1.0,9
C_3110_T,107,0,snp,freebayes,1.0,8
A_3199_C,115,0,snp,freebayes,1.0,8
A_3262_G,222,0,snp,freebayes,1.0,9
T_3299_C,260,0,snp,freebayes,1.0,9
C_3316_T,258,1,snp,freebayes,0.9961389961389961,9
T_3371_C,229,3,snp,freebayes,0.9870689655172413,9
T_3376_C,233,1,snp,freebayes,0.9957264957264957,9
T_3391_C,228,0,snp,freebayes,1.0,9
C_3400_T,238,0,snp,freebayes,1.0,9
T_3430_A,241,0,snp,freebayes,1.0,9
C_3568_T,282,0,snp,freebayes,1.0,9
T_3577_C,283,0,snp,freebayes,1.0,9
C_3730_T,290,0,snp,freebayes,1.0,9
C_3799_T,306,1,snp,freebayes,0.996742671009772,9
T_3898_C,265,0,snp,freebayes,1.0,9
TTTCTTCTA_4008_TTTCTA,181,0,del,freebayes,1.0,9
G_4022_A,192,0,snp,freebayes,1.0,9
T_4028_A,188,0,snp,freebayes,1.0,9
C_4048_A,172,0,snp,freebayes,1.0,9
C_4067_A,164,0,snp,freebayes,1.0,9
C_4112_T,145,0,snp,freebayes,1.0,8
T_4117_A,144,0,snp,freebayes,1.0,8
C_4134_T,137,0,snp,freebayes,1.0,8
T_4156_C,142,0,snp,freebayes,1.0,8
ATA_4180_AA,151,0,del,freebayes,1.0,8
T_4229_C,177,0,snp,freebayes,1.0,8
A_4294_T,223,0,snp,freebayes,1.0,9
C_4364_A,218,0,snp,freebayes,1.0,9
G_4396_A,207,0,snp,freebayes,1.0,9
T_4408_C,199,0,snp,freebayes,1.0,9
C_4417_T,205,0,snp,freebayes,1.0,9
A_4520_T,221,1,snp,freebayes,0.9954954954954955,9
T_4534_C,228,1,snp,freebayes,0.9956331877729258,5
A_4602_G,209,0,snp,freebayes,1.0,9
A_4619_G,200,0,snp,freebayes,1.0,9
T_4642_C,213,0,snp,freebayes,1.0,9
A_4669_C,209,0,snp,freebayes,1.0,9
A_4686_G,219,0,snp,freebayes,1.0,9
A_4702_G,225,0,snp,freebayes,1.0,9
T_4814_C,205,0,snp,freebayes,1.0,9
A_4989_T,142,1,snp,freebayes,0.993006993006993,9
C_5056_T,113,0,snp,freebayes,1.0,8
A_5076_C,107,0,snp,freebayes,1.0,6
C_5087_T,102,1,snp,freebayes,0.9902912621359223,7
G_5093_A,103,1,snp,freebayes,0.9903846153846154,7
C_5117_T,111,0,snp,freebayes,1.0,7
C_5125_A,114,0,snp,freebayes,1.0,8
T_5138_C,123,1,snp,freebayes,0.9919354838709677,9
C_5165_T,130,1,snp,freebayes,0.9923664122137404,9
T_5174_C,142,4,snp,freebayes,0.9726027397260274,9
C_5192_T,139,330,snp,freebayes,0.29637526652452023,10
T_5210_C,497,0,snp,freebayes,1.0,11
T_5302_C,611,0,snp,freebayes,1.0,11
A_5367_G,339,0,snp,freebayes,1.0,10
T_5463_A,411,0,snp,freebayes,1.0,10
T_5471_A,430,1,snp,freebayes,0.9976798143851509,10
C_5479_T,447,0,snp,freebayes,1.0,10
T_5486_A,463,0,snp,freebayes,1.0,10
C_5523_T,806,0,snp,freebayes,1.0,11
C_5532_T,804,0,snp,freebayes,1.0,11
A_5573_G,817,0,snp,freebayes,1.0,11
C_5599_A,787,1,snp,freebayes,0.998730964467005,11
A_5661_T,353,0,snp,freebayes,1.0,10
G_5668_A,359,0,snp,freebayes,1.0,10
T_5697_C,362,1,snp,freebayes,0.9972451790633609,11
A_5734_T,361,1,snp,freebayes,0.9972375690607734,11
C_5751_T,374,1,snp,freebayes,0.9973333333333333,11
A_5844_T,373,1,snp,freebayes,0.9973262032085561,11
G_5865_A,378,0,snp,freebayes,1.0,11
G_5894_A,369,1,snp,freebayes,0.9972972972972973,11
A_5945_G,388,0,snp,freebayes,1.0,11
G_5970_A,382,1,snp,freebayes,0.9973890339425587,11
A_5977_G,378,0,snp,freebayes,1.0,11
T_6003_C,357,0,snp,freebayes,1.0,11
C_6048_A,355,1,snp,freebayes,0.9971910112359551,11
T_6090_C,358,1,snp,freebayes,0.9972144846796658,11
T_6096_C,365,0,snp,freebayes,1.0,11
A_6120_G,363,2,snp,freebayes,0.9945205479452055,11
A_6177_T,372,0,snp,freebayes,1.0,11
T_6186_C,368,0,snp,freebayes,1.0,11
G_6252_T,350,1,snp,freebayes,0.9971509971509972,11
T_6267_C,368,0,snp,freebayes,1.0,11
G_6336_A,373,0,snp,freebayes,1.0,11
A_6390_T,399,0,snp,freebayes,1.0,11
A_6399_G,395,0,snp,freebayes,1.0,11
A_6458_G,377,0,snp,freebayes,1.0,11
C_6501_A,363,0,snp,freebayes,1.0,11
G_6510_A,366,2,snp,freebayes,0.9945652173913043,11
A_6564_T,371,1,snp,freebayes,0.9973118279569892,11
G_6579_A,380,0,snp,freebayes,1.0,11
G_6618_A,378,0,snp,freebayes,1.0,11
T_6630_C,377,0,snp,freebayes,1.0,11
T_6692_A,340,1,snp,freebayes,0.9970674486803519,11
A_6723_G,340,0,snp,freebayes,1.0,11
A_6765_G,347,0,snp,freebayes,1.0,11
C_6777_T,356,0,snp,freebayes,1.0,11
T_6891_C,414,1,snp,freebayes,0.9975903614457832,11
A_6921_G,412,1,snp,freebayes,0.9975786924939467,11
T_6936_C,397,0,snp,freebayes,1.0,11
C_6948_T,388,2,snp,freebayes,0.9948717948717949,11
C_7068_T,342,3,snp,freebayes,0.991304347826087,11
G_7125_A,366,1,snp,freebayes,0.997275204359673,10
C_7131_T,372,1,snp,freebayes,0.9973190348525469,10
C_7137_T,369,1,snp,freebayes,0.9972972972972973,11
T_7149_C,372,0,snp,freebayes,1.0,11
C_7158_A,373,0,snp,freebayes,1.0,11
T_7199_C,369,0,snp,freebayes,1.0,11
G_7230_A,344,2,snp,freebayes,0.9942196531791907,11
T_7249_G,341,1,snp,freebayes,0.9970760233918129,11
C_7272_T,336,0,snp,freebayes,1.0,11
C_7306_T,304,0,snp,freebayes,1.0,10
C_7311_T,293,0,snp,freebayes,1.0,10
A_7355_G,244,0,snp,freebayes,1.0,9
G_7378_A,203,0,snp,freebayes,1.0,9
C_7410_T,131,0,snp,freebayes,1.0,8
C_7441_T,115,0,snp,freebayes,1.0,8
C_7459_T,137,0,snp,freebayes,1.0,9
T_7485_C,157,0,snp,freebayes,1.0,9
G_7504_T,185,0,snp,freebayes,1.0,9
G_7535_A,264,0,snp,freebayes,1.0,10
TAAAAAATG_7552_TAAAAATG,298,0,del,freebayes,1.0,10
T_7602_C,372,0,snp,freebayes,1.0,11
G_7632_A,361,0,snp,freebayes,1.0,11
C_7737_A,327,1,snp,freebayes,0.9969512195121951,11
A_7746_G,323,0,snp,freebayes,1.0,11
T_7833_A,279,0,snp,freebayes,1.0,10
T_7899_C,647,1,snp,freebayes,0.9984567901234568,10
G_7917_A,660,0,snp,freebayes,1.0,10
A_7924_C,660,0,snp,freebayes,1.0,10
T_7938_C,680,0,snp,freebayes,1.0,10
A_7995_G,733,1,snp,freebayes,0.9986376021798365,9
A_8058_C,708,4,snp,freebayes,0.9943820224719101,11
C_8063_A,701,3,snp,freebayes,0.9957386363636364,11
G_8202_A,237,0,snp,freebayes,1.0,8
T_8212_C,247,0,snp,freebayes,1.0,9
